,"Age, BMI & VAT",Lifestyle
AHI,0.005066997677346962,0.006699874214212222
ahi_4_percent,0.006178716281505681,0.009111934032299204
ahi_central,0.012237018521541645,0.011603401037475909
ahi_central_during_nrem,0.009907598993337303,0.011239016894432852
ahi_central_during_rem,0.00967028074521741,0.01338212057593388
ahi_during_left,0.006682159981932342,0.009362822851488178
ahi_during_non_supine,0.007033669627378563,0.007699179020279042
ahi_during_nrem,0.004453025374265365,0.007087391456474723
ahi_during_prone,0.008805125183837335,0.01208026066165189
ahi_during_rem,0.005056690914909532,0.0053129621565804475
ahi_during_right,0.007493733451536175,0.00917867281227961
ahi_during_supine,0.004972409582648672,0.005514393803841894
ahi_obstructive,0.0038240663144945277,0.006422841719653169
ahi_obstructive_during_nrem,0.005522320235246242,0.007939470019703734
ahi_obstructive_during_rem,0.005327407540386815,0.005483353304474359
desaturations_above_20,0.011011727664233056,0.012392214784725273
desaturations_mean_nadir,0.00939341312898815,0.013502502662347765
desaturations_of_10_20,0.00901009277118051,0.017103974237761433
desaturations_of_4_9,0.006520738664621727,0.006939166135451619
number_of_4_percent_desaturation_apnea_hypopnea_events,0.006619101341803555,0.008061440213855997
number_of_all_respiratory_events,0.006255891068496593,0.009885741406689132
number_of_apnea_hypopnea_events,0.004944079407665628,0.007103263839531364
number_of_central_apnea_hypopnea_events,0.012326409641542226,0.011359276126484807
number_of_desaturation_events,0.0068574211706596494,0.00829923320209722
number_of_obstructive_apnea_hypopnea_events,0.004970021141246002,0.006816429066181725
number_of_transitions_nrem_to_rem,0.011838294294664972,0.01443654992528269
number_of_transitions_nrem_to_wake,0.010133889047650549,0.009817967725431288
number_of_transitions_rem_to_nrem,0.01344387956193367,0.01541104655160192
number_of_transitions_rem_to_wake,0.014160136348708809,0.015025978067510833
number_of_transitions_wake_to_nrem,0.01046771988103037,0.010033492756009302
number_of_transitions_wake_to_rem,0.015262240707132564,0.013621612361321839
number_of_wakes,0.010745204493118724,0.010758769628787036
odi,0.006502966805123346,0.008596829875077894
odi_during_left,0.009352052054644065,0.01146384413558012
odi_during_non_supine,0.008310128766127703,0.008746258360296912
odi_during_nrem,0.005660067762464766,0.010641125917139211
odi_during_prone,0.01082769683070224,0.01257169394316346
odi_during_rem,0.0074857343642603285,0.007531878093667429
odi_during_right,0.008843772722086167,0.011356852968186486
odi_during_supine,0.00697385231061358,0.008941054008905736
percent_of_deep_sleep_time,0.009011050187246256,0.013448249290787162
percent_of_left_sleep,0.013724850848621154,0.014164842128886013
percent_of_light_sleep_time,0.01138510631786115,0.013393541916115519
percent_of_non_supine_sleep,0.011281787339132762,0.015192836379517606
percent_of_prone_sleep,0.012415809321171275,0.017999614586775216
percent_of_rem_sleep_time,0.014707593968207701,0.013853086257901858
percent_of_right_sleep,0.010550596020374888,0.013145278171405721
percent_of_sleep_time,0.01242865047488843,0.011707470872250002
percent_of_supine_sleep,0.011281762710567899,0.015192836331714253
percent_of_wake_time,0.012420435584324364,0.01165283340132584
rdi,0.0068209253024594935,0.009138891945210432
rdi_during_left,0.00873216181241389,0.011020747719190087
rdi_during_non_supine,0.009120458548003996,0.010229080401530213
rdi_during_nrem,0.0073837890175130864,0.01058934706900277
rdi_during_prone,0.010113568163594475,0.013636507959375797
rdi_during_rem,0.006017390082696218,0.007863586174033496
rdi_during_right,0.008702983211761483,0.012864594513256626
rdi_during_supine,0.005907211535897732,0.0066216652859843435
rem_latency,0.01345830155024473,0.014650436012007814
saturation_below_80,0.01633110131960338,0.013881324460356767
saturation_below_85,0.016114752989319275,0.013613186967999917
saturation_below_90,0.01314297428199926,0.01608735149103917
saturation_below_or_equal_88,0.012332720314492354,0.015647433283123527
saturation_max_value,0.009310187940477964,0.008879013398399594
saturation_mean,0.0038490349056194474,0.00592313423286481
saturation_min_value,0.005689430893013461,0.009629154579110117
sleep_efficiency,0.015335824966856329,0.01173325521082012
sleep_latency,0.014270464559636856,0.014602199728779694
snore_above_40db,0.008054022827794261,0.012394577711026672
snore_above_45db,0.00931826616688199,0.013835373305925333
snore_above_50db,0.013779649081108878,0.014160654919541252
snore_above_60db,0.013275023814669187,0.016209085838302047
snore_db_mean,0.010256157706513712,0.013804790003512446
time_to_transition_nrem_to_rem,0.012660330134903605,0.014435558801185409
time_to_transition_nrem_to_wake,0.015334407252320183,0.01233119448618521
time_to_transition_rem_to_nrem,0.012766263021496544,0.013091635375147447
time_to_transition_rem_to_wake,0.01347947343061767,0.01427535442524442
time_to_transition_wake_to_nrem,0.015132601313537893,0.016437763024200573
time_to_transition_wake_to_rem,0.016891361610120254,0.017404015900187145
total_arousal_sleep_time,0.010258519496833223,0.012662683267972347
total_deep_sleep_time,0.010748157406800598,0.013694754911837914
total_left_sleep_time,0.013368369750125654,0.013050408593315552
total_light_sleep_time,0.010723737984119852,0.009480930834188802
total_non_supine_sleep_time,0.011026828818670575,0.013503284199223956
total_prone_sleep_time,0.012490900947517848,0.01645458166181059
total_rem_sleep_time,0.01546258915080555,0.012398439025899651
total_right_sleep_time,0.01020215022080475,0.012381874687738883
total_sleep_time,0.010108107728756694,0.011999859355120024
total_supine_sleep_time,0.01236785368082524,0.014521110883957276
total_time_in_bed,0.013773895964295242,0.013012389160007238
total_valid_apnea_central_sleep_time,0.010594669202608833,0.01253570107332615
total_valid_apnea_sleep_time,0.012130515423876503,0.012735756256807673
total_wake_time,0.013858180335681614,0.0129975176575925
total_wake_time_after_sleep_onset,0.01112089190420249,0.012012366634610545
variability_between_sleep_stage_percents,0.01095512072483177,0.013910825579903141
